title,year,mpaa,runtime,genres,star_rating,director,stars,gross,release_date
Aces: Iron Eagle III,1992,,,,,,,"$2,517,600","Jun 12, 1992"
Ach Spij Kochanie,2017,,,Thriller/Suspense,,,,$0,"Dec 31, 2017"
Achcham Yenbadhu Madamaiyada,2016,,,Drama,,,,$0,"Dec 31, 2016"
Acht Stunden sind kein Tag,2018,,,Drama,,,,$0,"Mar 14, 2018"
The Achy Breaky Hearts,2016,,,Romantic Comedy,,,,$0,"Dec 31, 2016"
AcÄ± TatlÄ± EkÅŸi,2017,,,Drama,,,,$0,"Dec 31, 2017"
The Acid House,1999,,,Drama,,,,"$142,783","Aug 6, 1999"
Acme,2017,,,Comedy,,,,$0,"Dec 31, 2017"
A.C.O.R.N.S.: Operation Crackdown,2016,,,Adventure,,,,$0,"Nov 1, 2016"
Acrimony,2018,,,Thriller/Suspense,,,,$0,"Mar 30, 2018"
Across 110th Street,1972,,,Thriller/Suspense,,,,"$10,000,000","Jan 1, 1972"
Across the Great Divide,1976,,,Western,,,,"$18,800,000","Jan 1, 1976"
Across the Hall,2010,,,Thriller/Suspense,,,,$0,"Jan 19, 2010"
Across the Line,2015,,,Drama,,,,$0,"Dec 31, 2015"
Across the Line: The Exodus of Charlie Wright,2010,,,Action,,,,$0,"Dec 31, 2010"
Across The Sea of Time,1995,,,Drama,,,,"$16,015,639","Oct 20, 1995"
Across the Tracks,1990,,,Drama,,,,$0,"Dec 31, 1990"
Across the Universe,2007,,,Musical,,,,"$24,343,673","Sep 14, 2007"
Across the Wide Missouri,1951,,,Western,,,,"$5,500,000","Jan 1, 1951"
Act & Punishment,2018,,,Documentary,,,,$0,"Jan 23, 2018"
Act of Faith,2014,,,,,,,$0,"Apr 8, 2014"
Act of God,2009,,,,,,,"$9,955","Jul 31, 2009"
The Act of Killing,2013,,,Documentary,,,,"$486,919","Jul 19, 2013"
An Act of Love,2017,,,Documentary,,,,$0,"Jan 10, 2017"
Act of Valor,2012,,,Action,,,,"$70,012,847","Feb 24, 2012"
Action Hero Biju,2015,,,Action,,,,$0,"Dec 31, 2015"
Action Jackson,1988,,,Action,,,,"$20,257,000","Feb 12, 1988"
Action #1,2017,,,Comedy,,,,$0,"Dec 31, 2017"
Action Point,2018,,,Comedy,,,,$0,"Jun 1, 2018"
Action Replayy,2010,,,Drama,,,,"$410,262","Nov 5, 2010"
